id,lead_id,unit_value,unit_location,expected_value,actual_value,date_of_reservation,reservation_update_date,date_of_contraction,property_type_id,area_id,compound_id,sale_category,years_of_payment,property_type
3764,145565,5711000.0,6th of October City,,5711000.0,2022-12-14 00:00:00,,2022-12-14 00:00:00,8,1.0,274.0,Primary,7.0,Office
11149,366365,,North Coast,39771000.0,,,,,1,3.0,788.0,,,Villa
11148,366365,,North Coast,37640000.0,,,,,1,3.0,788.0,,,Villa
11147,366365,,North Coast,12494720.0,,,,,5,3.0,788.0,,,Chalet
4067,5716,3952300.0,Hurghada,4000000.0,3952300.0,2023-01-17 00:00:00,2023-01-17 00:00:00,2023-02-05 00:00:00,5,18.0,454.0,Primary,6.0,Chalet
6002,18581,8087000.0,New Cairo,8000000.0,8087000.0,2023-03-14 00:00:00,2023-03-15 00:00:00,2023-03-30 00:00:00,21,2.0,345.0,Primary,8.0,Apartment
4145,164183,10612000.0,New Cairo,,10612000.0,2023-01-17 00:00:00,2023-01-17 00:00:00,2023-02-02 00:00:00,5,2.0,345.0,Primary,8.0,Chalet
3955,158964,2435950.0,Ain Sokhna,,2435950.0,2023-01-05 00:00:00,,2023-01-05 00:00:00,5,4.0,434.0,Primary,8.0,Chalet
794,32565,1185030.0,New Capital City,,,2021-04-24 00:00:00,,2021-04-29 00:00:00,8,9.0,463.0,Primary,,Office
6377,178209,3015600.0,New Cairo,3800000.0,3015600.0,2023-03-16 00:00:00,2023-03-16 00:00:00,2023-04-10 00:00:00,8,2.0,903.0,Developer Commercial Sale,6.0,Office
5792,62365,4216000.0,North Coast,4216000.0,4216000.0,2023-03-17 00:00:00,2023-03-17 00:00:00,2023-04-12 00:00:00,5,3.0,305.0,Primary,8.0,Chalet
11288,286688,7745691.5,Mostakbal City,,15491383.0,2023-11-24 00:00:00,,2024-01-14 00:00:00,7,10.0,1059.0,Primary,8.0,Townhouse
6797,210797,7157422.0,El Sheikh Zayed,9500000.0,7157422.0,2023-05-02 00:00:00,,2023-05-07 00:00:00,21,26.0,686.0,Primary,7.0,Apartment
7087,221469,2790000.0,Mostakbal City,2790000.0,2790000.0,2023-05-17 00:00:00,,2023-05-28 00:00:00,21,10.0,202.0,Primary,8.0,Apartment
4512,138462,4542125.0,6th of October City,4000000.0,4542125.0,2023-02-18 00:00:00,,2023-02-23 00:00:00,21,1.0,422.0,Primary,9.0,Apartment
10953,364793,13303000.0,6th of October City,13303000.0,,2023-12-20 00:00:00,,2023-12-24 00:00:00,21,1.0,258.0,Primary,7.0,Apartment
9008,92,4622000.0,North Coast,,4622000.0,2023-08-22 00:00:00,,2023-09-27 00:00:00,5,3.0,505.0,Primary,8.0,Chalet
7763,23634,5992058.0,North Coast,4500000.0,5992058.0,2023-07-25 00:00:00,2023-07-25 00:00:00,2023-08-05 00:00:00,5,3.0,935.0,Primary,7.0,Chalet
7891,19391,5040000.0,North Coast,,5040000.0,2023-07-26 00:00:00,2023-07-27 00:00:00,2023-07-27 00:00:00,5,3.0,505.0,Primary,9.0,Chalet
7166,1811,4454354.0,Mostakbal City,,4454354.0,2023-03-08 00:00:00,2023-03-09 00:00:00,2023-04-04 00:00:00,3,10.0,535.0,Primary,8.0,Duplex
10293,135508,5798168.0,6th of October City,,5798168.0,2023-11-19 00:00:00,2023-11-26 10:28:00,2023-12-10 00:00:00,21,1.0,223.0,Primary,10.0,Apartment
8529,36658,5200000.0,New Cairo,,5200000.0,2023-09-03 00:00:00,2023-09-05 12:43:00,2024-01-04 00:00:00,8,2.0,838.0,Primary,5.0,Office
9632,324425,5003075.0,6th of October City,3500000.0,,2023-11-04 00:00:00,2023-11-06 11:59:00,2023-11-20 00:00:00,21,1.0,1039.0,Primary,10.0,Apartment
11129,103930,6500000.0,New Cairo,,6500000.0,2023-12-31 00:00:00,,2024-01-02 00:00:00,21,2.0,1037.0,Primary,8.0,Apartment
